time: 20	 sensorID: 1	 sendTo: 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 13 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 15 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 15 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 15 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 15 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 15 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 16 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 16 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 16 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 18 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 18 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 18 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 18 - 9 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 2 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 2 - 13 - 20
